satellite_a,satellite_b,norad_a,norad_b,distance_km,relative_speed_km_s,time_to_cpa_seconds,minimum_distance_km,risk,risk_score
2026-188A,2026-188B,100366,100367,3.784573797531515,0.004216730239525562,19.10736380305841,3.7837160580016875,MEDIUM,45
STARLINK-38196,STARLINK-38259,100200,100252,4334.792622145173,14.159714683106992,306.13334749144764,16.595268810735853,LOW,10
STARLINK-38134,STARLINK-37991,100123,100124,19.703865867986238,0.022572718442605718,0.0,19.703865867986238,LOW,10
STARLINK-38214,STARLINK-38044,100103,100115,31.441093355767403,0.02543875566191463,925.7454176977125,20.831436109455726,LOW,10
STARLINK-38088,STARLINK-38189,100114,100213,3486.222097208087,1.6767515886139062,2079.104243103157,23.72869686277429,LOW,10
STARLINK-38228,STARLINK-38259,100192,100252,4188.405976156396,14.224322060233636,294.4473426640023,27.782497748704532,LOW,10
STARLINK-38095,QPS-SAR-13 (MIKURA-I),100179,100243,9015.012345099902,7.49135726632568,1203.3824632702833,28.288786969584912,LOW,10
STARLINK-38174,STARLINK-38195,100104,100196,10577.22317715211,9.268880794537186,1141.1482033589919,34.57546004690186,LOW,10
STARLINK-38173,STARLINK-38190,100151,100219,1820.8758431016051,1.0300989271522514,1767.2475303101337,39.84752482885758,LOW,10
STARLINK-38227,STARLINK-38243,100193,100253,2605.557339883045,14.712595236674526,177.07514056976083,40.99177016353521,LOW,10
STARLINK-38111,STARLINK-38227,100152,100193,6855.290346687934,13.007785852502577,527.0049616562213,41.009215221964766,LOW,10
GLOBALSTAR 2-R OBJECT A,GLOBALSTAR 2-R OBJECT B,100325,100326,41.89610480367688,0.04452753276067309,0.0,41.89610480367688,LOW,10
STARLINK-38130,STARLINK-38254,100187,100222,429.35912835806073,14.792719118749728,28.885030808962735,42.12006785413364,LOW,10
GLOBALSTAR 2-R OBJECT D,GLOBALSTAR 2-R OBJECT E,100328,100329,43.53034563272351,0.04638210855341982,0.0,43.53034563272351,LOW,10
STARLINK-38198,STARLINK-38130,100160,100187,5790.690540033507,13.685900702202686,423.1007872358816,45.04201265504529,LOW,10
GLOBALSTAR 2-R OBJECT C,GLOBALSTAR 2-R OBJECT D,100327,100328,46.24319165890813,0.04922357668994525,0.0,46.24319165890813,LOW,10
STARLINK-38222,STARLINK-38095,100101,100179,6593.489398013124,13.257923087291934,497.30904155558034,51.91377300220282,LOW,10
GLOBALSTAR 2-R OBJECT G,GLOBALSTAR 2-R OBJECT H,100331,100332,54.7943674669282,0.05833216360509844,0.0,54.7943674669282,LOW,10
